States,virc 0-10,virc 10-14,virc 14-18,virc 18-30,virc 30-50,virc 50-dead,vorc 0-10,vorc 10-14,vorc 14-18,vorc 18-30,vorc 30-50,vorc 50-dead,vtrc 0-10,vtrc 10-14,vtrc 14-18,vtrc 18-30,vtrc 30-50,vtrc 50-dead
Andhra Pradesh,0,0,2,0,0,0,41,167,206,642,116,14,41,167,208,642,116,14
Arunachal Pradesh,0,0,0,0,0,0,4,12,0,42,1,0,4,12,0,42,1,0
Assam,0,0,0,7,2,0,1,6,3,1223,375,14,1,6,3,1230,377,14
Bihar,0,0,0,1,0,0,12,19,32,764,101,0,12,19,32,765,101,0
Chhattisgarh,1,2,8,6,5,2,79,225,79,454,108,7,80,227,87,460,113,9
Goa,0,0,1,0,0,0,1,11,20,15,2,0,1,11,21,15,2,0
Gujarat,1,2,3,10,2,0,14,25,47,298,30,1,15,27,50,308,32,1
Haryana,2,2,0,7,1,0,17,25,70,423,53,3,19,27,70,430,54,3
Himachal Pradesh,1,2,5,1,1,0,11,14,50,83,15,0,12,16,55,84,16,0
Jammu & Kashmir,0,1,0,2,1,0,0,0,3,175,51,2,0,1,3,177,52,2
Jharkhand,0,0,0,16,6,0,4,0,5,478,210,0,4,0,5,494,216,0
Karnataka,0,0,0,17,1,0,39,49,18,344,37,4,39,49,18,361,38,4
Kerala,3,3,7,4,1,0,30,42,150,249,69,10,33,45,157,253,70,10
Madhya Pradesh,1,1,9,2,1,0,75,290,695,1403,510,11,76,291,704,1405,511,11
Maharashtra,5,3,19,47,3,0,126,118,344,666,154,8,131,121,363,713,157,8
Manipur,0,0,0,0,0,0,5,5,2,9,9,1,5,5,2,9,9,1
Meghalaya,1,2,1,1,0,0,18,21,18,40,7,3,19,23,19,41,7,3
Mizoram,2,1,0,0,0,0,3,2,3,42,30,0,5,3,3,42,30,0
Nagaland,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,17,5,0
Odisha,0,1,0,5,0,0,6,23,57,742,182,7,6,24,57,747,182,7
Punjab,0,2,3,3,0,0,34,46,128,255,43,1,34,48,131,258,43,1
Rajasthan,2,3,7,20,4,0,26,52,281,836,285,4,28,55,288,856,289,4
Sikkim,0,0,0,0,0,0,4,5,5,2,2,0,4,5,5,2,2,0
Tamil Nadu,1,0,3,0,0,0,27,34,117,390,22,2,28,34,120,390,22,2
Tripura,0,0,0,0,0,0,10,22,51,79,28,0,10,22,51,79,28,0
Uttar Pradesh,1,0,1,0,0,0,42,416,165,911,223,0,43,416,166,911,223,0
Uttarakhand,0,3,1,2,0,0,1,0,2,87,15,0,1,3,3,89,15,0
West Bengal,0,0,1,1,1,0,6,18,84,1834,391,0,6,18,85,1835,392,0
