UTs,virc 0-10,virc 10-14,virc 14-18,virc 18-30,virc 30-50,virc 50-dead,vorc 0-10,vorc 10-14,vorc 14-18,vorc 18-30,vorc 30-50,vorc 50-dead,vtrc 0-10,vtrc 10-14,vtrc 14-18,vtrc 18-30,vtrc 30-50,vtrc 50-dead
Andaman and Nicobar Islands,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0
Chandigarh,0,0,0,2,0,0,0,8,4,2,3,0,0,8,4,4,3,0
Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0
Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,3,3,2,1,0,0,45,78,152,58,41,0,48,81,154,59,41,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0,3,2,2,1,1,0,3,2,2,1,1,0
