States,virc 0-10,virc 10-14,virc 14-18,virc 18-30,virc 30-50,virc 50-dead,vorc 0-10,vorc 10-14,vorc 14-18,vorc 18-30,vorc 30-50,vorc 50-dead,vtrc 0-10,vtrc 10-14,vtrc 14-18,vtrc 18-30,vtrc 30-50,vtrc 50-dead
Andhra Pradesh,0,0,0,0,0,0,30,133,283,749,152,15,30,133,283,749,152,15
Arunachal Pradesh,0,0,0,0,0,0,2,10,0,34,1,0,2,10,0,34,1,0
Assam,0,0,0,10,3,0,1,9,29,1106,553,10,1,9,29,1116,556,10
Bihar,1,1,0,0,0,0,7,16,89,616,65,0,8,17,89,616,65,0
Chhattisgarh,0,2,3,13,3,0,24,85,268,411,187,16,24,87,271,424,190,16
Goa,0,0,2,0,0,0,4,5,12,11,0,2,4,5,14,11,0,2
Gujarat,1,0,2,1,0,0,21,28,51,260,42,2,22,28,53,261,42,2
Haryana,0,1,1,11,2,0,4,22,79,470,125,5,4,23,80,481,127,5
Himachal Pradesh,0,3,2,1,0,1,8,13,46,66,20,0,8,16,48,67,20,1
Jammu & Kashmir,0,0,0,0,0,0,0,1,7,187,50,0,0,1,7,187,50,0
Jharkhand,0,0,0,10,1,0,0,0,0,594,168,0,0,0,0,604,169,0
Karnataka,0,0,0,2,0,0,10,47,69,367,88,3,10,47,69,369,88,3
Kerala,5,5,2,2,0,0,24,43,131,326,86,12,29,48,133,328,86,12
Madhya Pradesh,2,1,10,4,4,0,51,303,816,1360,573,12,53,304,826,1364,577,12
Maharashtra,4,8,13,18,1,0,104,126,502,657,167,11,108,134,515,675,168,11
Manipur,0,0,0,0,0,0,1,2,8,20,3,0,1,2,8,20,3,0
Meghalaya,2,4,1,1,0,0,31,30,25,40,17,0,33,34,26,41,17,0
Mizoram,2,0,1,0,0,0,8,17,14,29,17,4,10,17,15,29,17,4
Nagaland,0,0,1,0,0,0,1,1,1,6,6,0,1,1,2,6,6,0
Odisha,2,12,21,2,0,0,11,5,23,785,159,5,13,17,44,787,159,5
Punjab,1,4,7,5,0,0,22,35,76,341,55,1,23,39,83,346,55,1
Rajasthan,2,2,6,10,4,0,35,70,271,795,342,36,37,72,277,805,346,36
Sikkim,1,1,0,0,0,0,5,6,2,1,2,0,6,7,2,1,2,0
Tamil Nadu,0,0,0,0,0,0,21,50,139,411,66,0,21,50,139,411,66,0
Tripura,0,0,0,0,0,0,19,27,61,93,38,0,19,27,61,93,38,0
Uttar Pradesh,0,1,2,1,0,0,43,161,244,861,250,0,43,162,246,862,250,0
Uttarakhand,1,2,2,5,1,0,1,1,3,87,18,0,2,3,5,92,19,0
West Bengal,0,1,0,2,1,0,0,21,51,1777,458,0,0,22,51,1779,459,0
