States,virc 0-10,virc 10-14,virc 14-18,virc 18-30,virc 30-50,virc 50-dead,vorc 0-10,vorc 10-14,vorc 14-18,vorc 18-30,vorc 30-50,vorc 50-dead,vtrc 0-10,vtrc 10-14,vtrc 14-18,vtrc 18-30,vtrc 30-50,vtrc 50-dead
Andhra Pradesh,3,2,1,7,2,0,30,133,214,422,125,7,33,135,215,429,127,7
Arunachal Pradesh,0,0,0,0,0,0,3,5,4,19,0,0,3,5,4,19,0,0
Assam,0,0,0,19,0,0,0,5,0,808,260,3,0,5,0,827,260,3
Bihar,0,0,1,0,0,0,1,1,0,686,296,0,1,1,1,686,296,0
Chhattisgarh,1,2,16,13,7,0,26,95,46,363,324,5,27,97,62,376,331,5
Goa,0,0,0,0,0,0,6,9,8,7,2,0,6,9,8,7,2,0
Gujarat,1,0,3,3,0,0,16,17,43,140,13,0,17,17,46,143,13,0
Haryana,0,0,3,11,0,0,2,5,67,237,28,0,2,5,70,248,28,0
Himachal Pradesh,0,0,1,1,0,0,8,14,24,55,23,0,8,14,25,56,23,0
Jammu & Kashmir,0,0,0,2,0,0,1,1,0,145,62,0,1,1,0,147,62,0
Jharkhand,0,2,6,6,0,0,0,4,4,600,90,0,0,6,10,606,90,0
Karnataka,1,0,0,0,0,0,17,47,67,135,38,16,18,47,67,135,38,16
Kerala,1,3,0,3,0,0,19,33,13,264,56,2,20,36,13,267,56,2
Madhya Pradesh,3,10,23,71,16,0,60,221,382,1475,470,7,63,231,405,1546,486,7
Maharashtra,4,1,6,8,0,0,75,115,411,533,119,4,79,116,417,541,119,4
Manipur,0,0,0,0,0,0,0,0,7,10,0,1,0,0,7,10,0,1
Meghalaya,1,2,1,1,0,0,3,3,14,13,1,1,4,5,15,14,1,1
Mizoram,0,1,1,0,0,0,1,2,5,22,22,0,1,3,6,22,22,0
Nagaland,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,14,0,0
Orissa,0,0,0,0,0,0,5,18,32,586,83,1,5,18,32,586,83,1
Punjab,0,2,2,5,0,0,6,12,32,257,63,1,6,14,34,262,63,1
Rajasthan,1,0,2,24,5,0,6,11,29,727,238,7,7,11,31,751,243,7
Sikkim,0,0,0,0,0,0,4,4,1,1,0,0,4,4,1,1,0,0
Tamil Nadu,3,7,17,12,1,0,9,7,4,348,148,1,12,14,21,360,149,1
Tripura,0,0,0,0,0,0,0,0,0,102,12,0,0,0,0,102,12,0
Uttar Pradesh,1,2,5,2,0,0,32,73,202,475,117,2,33,75,207,477,117,2
Uttaranchal,0,0,0,2,0,0,1,4,6,81,13,0,1,4,6,83,13,0
West Bengal,1,2,0,12,0,0,4,5,4,814,158,2,5,7,4,826,158,2
