States,virc 0-10,virc 10-14,virc 14-18,virc 18-30,virc 30-50,virc 50-dead,vorc 0-10,vorc 10-14,vorc 14-18,vorc 18-30,vorc 30-50,vorc 50-dead,vtrc 0-10,vtrc 10-14,vtrc 14-18,vtrc 18-30,vtrc 30-50,vtrc 50-dead
Andhra Pradesh,0,0,0,1,0,0,46,128,238,535,91,10,46,128,238,536,91,10
Arunachal Pradesh,0,0,0,0,0,0,0,0,0,34,3,0,0,0,0,34,3,0
Assam,0,3,0,6,3,0,8,18,32,886,286,2,8,21,32,892,289,2
Bihar,0,0,2,3,2,0,0,0,15,953,248,9,0,0,17,956,250,9
Chhattisgarh,6,12,33,29,15,2,22,92,283,308,168,25,28,104,316,337,183,27
Goa,0,0,0,1,0,0,1,4,9,4,1,1,1,4,9,5,1,1
Gujarat,0,2,0,14,0,0,20,28,62,199,28,1,20,30,62,213,28,1
Haryana,0,0,0,8,2,0,1,22,153,368,49,5,1,22,153,376,51,5
Himachal Pradesh,2,2,1,2,0,0,4,7,26,64,4,1,6,9,27,66,4,1
Jammu & Kashmir,0,0,0,0,0,0,0,8,0,193,48,1,0,8,0,193,48,1
Jharkhand,0,6,21,50,17,0,2,39,177,369,116,2,2,45,198,419,133,2
Karnataka,0,1,0,1,0,0,23,15,46,267,45,2,23,16,46,268,45,2
Kerala,4,3,9,8,3,1,31,56,118,273,93,6,35,59,127,281,96,7
Madhya Pradesh,3,5,5,12,4,0,20,91,705,1390,658,7,23,96,710,1402,662,7
Maharashtra,4,9,11,8,4,0,79,118,434,699,136,4,83,127,445,707,140,4
Manipur,0,0,0,0,0,0,6,4,9,17,6,0,6,4,9,17,6,0
Meghalaya,0,0,0,0,0,0,14,11,23,23,3,0,14,11,23,23,3,0
Mizoram,0,0,0,0,0,0,7,19,9,32,5,0,7,19,9,32,5,0
Nagaland,0,0,0,0,0,0,6,1,4,11,1,0,6,1,4,11,1,0
Orissa,0,0,0,0,0,0,23,51,27,730,152,2,23,51,27,730,152,2
Punjab,0,0,0,1,0,0,14,19,26,318,64,0,14,19,26,319,64,0
Rajasthan,1,3,12,22,4,0,33,77,185,533,210,5,34,80,197,555,214,5
Sikkim,0,0,0,0,0,0,8,4,5,3,0,0,8,4,5,3,0,0
Tamil Nadu,0,1,0,0,0,0,23,33,68,275,55,2,23,34,68,275,55,2
Tripura,0,0,4,0,0,0,0,4,30,135,17,1,0,4,34,135,17,1
Uttar Pradesh,0,0,0,0,0,0,18,56,273,780,184,3,18,56,273,780,184,3
Uttaranchal,0,3,0,2,1,0,1,4,15,104,17,0,1,7,15,106,18,0
West Bengal,0,0,0,6,0,0,2,5,13,1471,234,0,2,5,13,1477,234,0
