States,virc 0-10,virc 10-14,virc 14-18,virc 18-30,virc 30-50,virc 50-dead,vorc 0-10,vorc 10-14,vorc 14-18,vorc 18-30,vorc 30-50,vorc 50-dead,vtrc 0-10,vtrc 10-14,vtrc 14-18,vtrc 18-30,vtrc 30-50,vtrc 50-dead
Andhra Pradesh,0,2,0,3,0,0,35,65,35,706,148,8,35,67,35,709,148,8
Arunachal Pradesh,0,0,0,0,0,0,0,0,3,30,5,0,0,0,3,30,5,0
Assam,0,0,0,5,5,0,0,0,3,616,341,0,0,0,3,621,346,0
Bihar,0,0,1,2,0,0,0,2,1,803,231,0,0,2,2,805,231,0
Chhattisgarh,2,13,18,16,11,3,24,118,7,636,136,8,26,131,25,652,147,11
Goa,0,0,0,0,0,0,1,3,3,4,1,0,1,3,3,4,1,0
Gujarat,2,4,2,2,0,0,14,12,41,174,17,0,16,16,43,176,17,0
Haryana,0,6,3,39,4,0,29,43,3,198,35,1,29,49,6,237,39,1
Himachal Pradesh,0,1,0,0,0,0,5,4,16,71,36,4,5,5,16,71,36,4
Jammu & Kashmir,0,0,0,3,0,0,0,0,7,137,44,1,0,0,7,140,44,1
Jharkhand,0,0,4,11,3,0,0,0,39,665,75,0,0,0,43,676,78,0
Karnataka,0,1,0,3,0,0,3,9,6,215,54,1,3,10,6,218,54,1
Kerala,0,1,0,3,0,0,25,28,132,262,45,3,25,29,132,265,45,3
Madhya Pradesh,3,11,16,37,4,1,77,174,236,1512,807,13,80,185,252,1549,811,14
Maharashtra,0,3,5,9,4,0,63,127,314,684,136,7,63,130,319,693,140,7
Manipur,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,14,0,0
Meghalaya,1,0,0,0,0,0,2,9,22,4,0,0,3,9,22,4,0,0
Mizoram,0,0,0,0,0,0,0,1,1,52,13,9,0,1,1,52,13,9
Nagaland,0,0,0,0,0,0,2,1,3,11,0,0,2,1,3,11,0,0
Orissa,0,1,0,0,0,0,12,8,0,614,56,0,12,9,0,614,56,0
Punjab,0,0,2,2,0,0,8,12,30,211,33,1,8,12,32,213,33,1
Rajasthan,0,3,9,13,5,1,5,5,16,775,215,4,5,8,25,788,220,5
Sikkim,0,1,0,0,0,0,0,1,2,2,0,0,0,2,2,2,0,0
Tamil Nadu,0,0,0,0,0,0,15,8,6,465,39,1,15,8,6,465,39,1
Tripura,0,0,0,0,0,0,0,0,0,98,10,0,0,0,0,98,10,0
Uttar Pradesh,1,1,2,8,0,0,37,110,269,767,220,0,38,111,271,775,220,0
Uttaranchal,2,4,2,6,2,0,0,0,0,60,13,0,2,4,2,66,15,0
West Bengal,0,0,0,0,0,0,5,3,8,552,191,0,5,3,8,552,191,0
