UTs,virc 0-10,virc 10-14,virc 14-18,virc 18-30,virc 30-50,virc 50-dead,vorc 0-10,vorc 10-14,vorc 14-18,vorc 18-30,vorc 30-50,vorc 50-dead,vtrc 0-10,vtrc 10-14,vtrc 14-18,vtrc 18-30,vtrc 30-50,vtrc 50-dead
Andaman and Nicobar Islands,0,0,0,0,0,0,0,1,7,1,1,0,0,1,7,1,1,0
Chandigarh,0,1,0,0,0,0,5,4,3,5,1,0,5,5,3,5,1,0
Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,6,1,0
Daman & Diu,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Delhi,1,7,6,2,0,0,59,119,71,280,6,0,60,126,77,282,6,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0
