UTs,virc 0-10,virc 10-14,virc 14-18,virc 18-30,virc 30-50,virc 50-dead,vorc 0-10,vorc 10-14,vorc 14-18,vorc 18-30,vorc 30-50,vorc 50-dead,vtrc 0-10,vtrc 10-14,vtrc 14-18,vtrc 18-30,vtrc 30-50,vtrc 50-dead
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0
Chandigarh,1,1,0,0,0,0,2,2,2,11,3,0,3,3,2,11,3,0
Dadra and Nagar Haveli,0,0,0,0,0,0,1,2,4,0,0,0,1,2,4,0,0,0
Daman & Diu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Delhi,2,2,9,5,0,0,74,92,219,174,24,1,76,94,228,179,24,1
Lakshadweep,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Puducherry,0,0,0,0,0,0,1,0,2,6,0,0,1,0,2,6,0,0
