States,virc 0-10,virc 10-14,virc 14-18,virc 18-30,virc 30-50,virc 50-dead,vorc 0-10,vorc 10-14,vorc 14-18,vorc 18-30,vorc 30-50,vorc 50-dead,vtrc 0-10,vtrc 10-14,vtrc 14-18,vtrc 18-30,vtrc 30-50,vtrc 50-dead
Andhra Pradesh,0,0,4,3,0,0,52,110,197,569,128,7,52,110,201,572,128,7
Arunachal Pradesh,0,0,0,0,0,0,1,0,0,42,5,0,1,0,0,42,5,0
Assam,0,0,1,0,0,0,0,0,39,898,485,14,0,0,40,898,485,14
Bihar,0,2,0,0,0,0,9,26,79,1186,253,0,9,28,79,1186,253,0
Chhattisgarh,2,10,31,14,6,0,30,107,188,486,95,13,32,117,219,500,101,13
Goa,0,0,1,0,0,0,4,4,6,4,1,0,4,4,7,4,1,0
Gujarat,1,0,1,0,1,0,17,30,50,180,36,1,18,30,51,180,37,1
Haryana,0,2,0,1,0,0,17,24,79,321,41,3,17,26,79,322,41,3
Himachal Pradesh,1,0,0,0,1,0,10,19,46,58,22,2,11,19,46,58,23,2
Jammu & Kashmir,0,0,0,0,0,0,0,5,10,176,97,0,0,5,10,176,97,0
Jharkhand,0,0,0,0,0,0,0,15,8,639,188,5,0,15,8,639,188,5
Karnataka,0,0,1,1,0,0,20,32,31,296,48,7,20,32,32,297,48,7
Kerala,1,5,4,11,0,0,22,40,111,251,63,5,23,45,115,262,63,5
Madhya Pradesh,1,7,23,14,4,0,63,280,669,1385,521,43,64,287,692,1399,525,43
Maharashtra,4,5,9,13,9,0,95,120,384,646,159,13,99,125,393,659,168,13
Manipur,1,0,0,0,0,0,1,2,0,14,2,0,2,2,0,14,2,0
Meghalaya,2,0,1,6,0,0,22,12,18,30,2,0,24,12,19,36,2,0
Mizoram,1,0,0,0,0,1,22,23,18,10,7,1,23,23,18,10,7,2
Nagaland,0,0,1,0,0,0,0,0,2,6,4,0,0,0,3,6,4,0
Orissa,0,0,0,0,0,0,9,41,42,659,188,0,9,41,42,659,188,0
Punjab,0,0,6,1,0,0,26,38,65,301,79,3,26,38,71,302,79,3
Rajasthan,3,7,13,15,3,1,38,72,273,624,184,7,41,79,286,639,187,8
Sikkim,3,0,1,0,0,0,7,3,4,5,1,0,10,3,5,5,1,0
Tamil Nadu,1,0,1,0,0,0,19,41,88,346,35,1,20,41,89,346,35,1
Tripura,0,0,0,0,0,0,3,14,16,113,11,0,3,14,16,113,11,0
Uttar Pradesh,1,0,0,0,0,0,12,109,349,910,267,0,13,109,349,910,267,0
Uttarakhand,0,2,4,2,0,0,1,7,3,72,26,0,1,9,7,74,26,0
West Bengal,3,2,3,81,25,0,11,40,33,1397,506,5,14,42,36,1478,531,5
