States,virc 0-10,virc 10-14,virc 14-18,virc 18-30,virc 30-50,virc 50-dead,vorc 0-10,vorc 10-14,vorc 14-18,vorc 18-30,vorc 30-50,vorc 50-dead,vtrc 0-10,vtrc 10-14,vtrc 14-18,vtrc 18-30,vtrc 30-50,vtrc 50-dead
Andhra Pradesh,0,0,0,0,0,0,99,147,400,652,136,8,99,147,400,652,136,8
Arunachal Pradesh,0,0,0,0,0,0,6,13,1,22,0,0,6,13,1,22,0,0
Assam,0,0,0,0,0,0,4,9,27,1114,538,8,4,9,27,1114,538,8
Bihar,2,0,0,0,0,0,21,18,50,757,86,0,23,18,50,757,86,0
Chhattisgarh,0,3,31,4,1,0,33,97,313,373,185,13,33,100,344,377,186,13
Goa,0,1,0,0,0,0,3,5,11,7,2,0,3,6,11,7,2,0
Gujarat,0,0,0,0,2,0,16,45,69,263,37,7,16,45,69,263,39,7
Haryana,0,0,2,5,1,0,9,15,40,545,114,2,9,15,42,550,115,2
Himachal Pradesh,0,3,2,2,1,0,7,9,51,71,19,3,7,12,53,73,20,3
Jammu & Kashmir,0,0,0,0,0,0,2,3,15,201,56,0,2,3,15,201,56,0
Jharkhand,0,1,4,3,0,0,0,6,38,588,142,2,0,7,42,591,142,2
Karnataka,1,0,0,0,0,0,20,24,59,471,60,1,21,24,59,471,60,1
Kerala,6,12,12,8,0,0,53,86,272,414,260,21,59,98,284,422,260,21
Madhya Pradesh,0,0,4,6,0,0,67,309,882,1567,546,27,67,309,886,1573,546,27
Maharashtra,6,9,14,10,4,0,130,166,520,714,165,7,136,175,534,724,169,7
Manipur,0,0,0,0,0,0,4,8,11,23,6,1,4,8,11,23,6,1
Meghalaya,1,3,2,0,0,0,24,27,13,47,16,1,25,30,15,47,16,1
Mizoram,3,0,0,0,0,0,18,13,15,17,10,1,21,13,15,17,10,1
Nagaland,1,3,3,1,1,0,4,3,1,3,3,0,5,6,4,4,4,0
Odisha,0,0,0,0,0,0,2,44,119,758,172,17,2,44,119,758,172,17
Punjab,0,0,2,4,0,0,20,32,113,274,32,3,20,32,115,278,32,3
Rajasthan,0,0,7,25,11,0,26,73,288,1027,331,12,26,73,295,1052,342,12
Sikkim,0,0,1,0,0,0,3,3,4,4,0,1,3,3,5,4,0,1
Tamil Nadu,0,0,1,1,0,0,45,46,180,364,39,2,45,46,181,365,39,2
Tripura,0,0,1,0,0,0,22,22,0,141,18,1,22,22,1,141,18,1
Uttar Pradesh,0,0,1,1,0,0,150,305,632,815,138,0,150,305,633,816,138,0
Uttarakhand,0,3,1,0,0,0,1,6,12,83,23,0,1,9,13,83,23,0
West Bengal,0,0,7,0,0,0,1,34,210,1671,439,1,1,34,217,1671,439,1
