States,virc 0-10,virc 10-14,virc 14-18,virc 18-30,virc 30-50,virc 50-dead,vorc 0-10,vorc 10-14,vorc 14-18,vorc 18-30,vorc 30-50,vorc 50-dead,vtrc 0-10,vtrc 10-14,vtrc 14-18,vtrc 18-30,vtrc 30-50,vtrc 50-dead
Andhra Pradesh,2,4,0,6,6,0,30,102,177,484,118,6,32,106,177,490,124,6
Arunachal Pradesh,0,0,0,0,0,0,3,5,2,25,0,0,3,5,2,25,0,0
Assam,0,1,0,3,2,1,19,33,37,844,284,14,19,34,37,847,286,15
Bihar,0,0,0,8,2,0,0,6,2,864,265,0,0,6,2,872,267,0
Chhattisgarh,1,10,33,39,27,0,14,102,222,353,173,16,15,112,255,392,200,16
Goa,1,0,0,0,0,0,3,4,7,4,1,0,4,4,7,4,1,0
Gujarat,2,4,5,8,0,0,16,24,39,210,16,0,18,28,44,218,16,0
Haryana,0,0,3,10,2,0,0,34,94,171,141,6,0,34,97,181,143,6
Himachal Pradesh,0,1,2,2,0,0,11,16,28,61,18,2,11,17,30,63,18,2
Jammu & Kashmir,0,0,0,0,0,0,1,0,3,153,42,2,1,0,3,153,42,2
Jharkhand,2,4,8,65,41,0,4,3,4,319,302,1,6,7,12,384,343,1
Karnataka,0,0,0,3,2,0,14,13,21,231,59,0,14,13,21,234,61,0
Kerala,1,1,4,5,0,1,29,30,82,231,90,7,30,31,86,236,90,8
Madhya Pradesh,9,18,43,57,13,1,93,276,431,1339,616,25,102,294,474,1396,629,26
Maharashtra,3,5,13,14,3,0,82,127,408,721,171,2,85,132,421,735,174,2
Manipur,0,0,0,0,1,0,3,1,0,14,6,0,3,1,0,14,7,0
Meghalaya,1,0,3,0,0,0,8,10,29,8,4,0,9,10,32,8,4,0
Mizoram,0,0,0,0,0,0,0,0,30,7,0,0,0,0,30,7,0,0
Nagaland,0,0,0,0,0,0,3,0,0,12,2,0,3,0,0,12,2,0
Orissa,0,0,0,6,1,0,18,0,10,630,131,3,18,0,10,636,132,3
Punjab,2,1,11,25,11,0,7,18,12,214,97,0,9,19,23,239,108,0
Rajasthan,0,5,10,11,7,0,21,39,171,504,209,16,21,44,181,515,216,16
Sikkim,0,1,0,0,0,0,4,4,7,2,2,0,4,5,7,2,2,0
Tamil Nadu,1,0,0,8,2,0,28,28,58,388,58,0,29,28,58,396,60,0
Tripura,0,0,0,0,0,0,3,13,4,129,13,0,3,13,4,129,13,0
Uttar Pradesh,0,0,18,52,0,0,44,103,229,604,162,5,44,103,247,656,162,5
Uttaranchal,0,0,0,2,1,0,3,3,12,93,19,0,3,3,12,95,20,0
West Bengal,0,0,0,31,5,0,3,0,3,1420,223,1,3,0,3,1451,228,1
