UTs,virc 0-10,virc 10-14,virc 14-18,virc 18-30,virc 30-50,virc 50-dead,vorc 0-10,vorc 10-14,vorc 14-18,vorc 18-30,vorc 30-50,vorc 50-dead,vtrc 0-10,vtrc 10-14,vtrc 14-18,vtrc 18-30,vtrc 30-50,vtrc 50-dead
Andaman & Nicobar Islands,0,0,0,0,0,0,2,1,12,8,1,0,2,1,12,8,1,0
Chandigarh,0,0,0,0,0,0,4,8,4,15,0,0,4,8,4,15,0,0
Dadra Nagar Haveli,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0
Daman & Diu,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Delhi,6,11,3,1,0,0,45,68,171,167,34,1,51,79,174,168,34,1
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0
