States,virc 0-10,virc 10-14,virc 14-18,virc 18-30,virc 30-50,virc 50-dead,vorc 0-10,vorc 10-14,vorc 14-18,vorc 18-30,vorc 30-50,vorc 50-dead,vtrc 0-10,vtrc 10-14,vtrc 14-18,vtrc 18-30,vtrc 30-50,vtrc 50-dead
Andhra Pradesh,0,2,0,2,0,0,57,136,254,326,80,14,57,138,254,328,80,14
Arunachal Pradesh,0,0,0,0,0,0,0,0,1,28,4,0,0,0,1,28,4,0
Assam,0,1,7,0,0,0,8,72,238,370,119,2,8,73,245,370,119,2
Bihar,0,2,5,1,0,0,1,13,193,561,112,0,1,15,198,562,112,0
Chhattisgarh,0,3,1,1,1,0,25,188,217,383,136,4,25,191,218,384,137,4
Goa,0,0,0,0,0,0,3,7,1,0,1,0,3,7,1,0,1,0
Gujarat,0,0,2,0,0,0,15,23,85,125,36,0,15,23,87,125,36,0
Haryana,0,0,0,0,0,0,34,62,125,134,40,3,34,62,125,134,40,3
Himachal Pradesh,0,0,0,0,0,0,20,15,43,35,9,2,20,15,43,35,9,2
Jammu & Kashmir,0,0,1,1,0,0,0,24,40,83,20,0,0,24,41,84,20,0
Jharkhand,1,3,4,2,2,0,8,0,0,476,71,0,9,3,4,478,73,0
Karnataka,3,0,1,1,0,0,21,63,61,122,21,0,24,63,62,123,21,0
Kerala,1,0,1,1,0,1,18,46,125,305,64,0,19,46,126,306,64,1
Madhya Pradesh,10,39,66,130,56,0,76,265,491,1120,571,27,86,304,557,1250,627,27
Maharashtra,1,5,6,4,4,0,88,147,413,499,131,4,89,152,419,503,135,4
Manipur,2,0,0,0,0,0,1,1,4,9,2,1,3,1,4,9,2,1
Meghalaya,1,0,1,1,2,0,2,2,3,13,1,0,3,2,4,14,3,0
Mizoram,0,0,0,0,0,0,0,0,30,14,8,0,0,0,30,14,8,0
Nagaland,0,0,0,0,1,0,0,0,8,6,2,0,0,0,8,6,3,0
Orissa,0,0,3,1,0,0,8,9,294,401,74,0,8,9,297,402,74,0
Punjab,0,0,0,0,0,0,8,30,137,98,24,1,8,30,137,98,24,1
Rajasthan,1,1,7,8,1,0,15,43,222,598,146,7,16,44,229,606,147,7
Sikkim,1,0,0,0,0,0,0,0,4,2,1,0,1,0,4,2,1,0
Tamil Nadu,0,2,4,13,2,0,6,13,170,179,32,2,6,15,174,192,34,2
Tripura,0,0,0,0,0,0,0,0,50,47,5,0,0,0,50,47,5,0
Uttar Pradesh,0,2,0,1,0,0,34,120,406,1081,314,0,34,122,406,1082,314,0
Uttaranchal,0,0,0,0,0,0,6,7,16,38,7,0,6,7,16,38,7,0
West Bengal,0,0,0,0,0,0,4,3,5,594,103,0,4,3,5,594,103,0
